ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES
2_2_2023 20:6:25,-0.028105,0.038907,-0.026589,4294.393555,17382.66797,-0.562906,0.062121
2_2_2023 20:6:25,-0.028105,0.038907,-0.026589,4294.393555,17382.66797,-0.562906,0.036047
2_2_2023 20:6:26,0.021653,0.038907,-0.026589,4294.393555,17382.66797,-0.562906,0.036047
2_2_2023 20:6:26,0.021653,0.014215,-0.026589,4294.393555,17382.66797,-0.562906,0.036047
2_2_2023 20:6:26,0.021653,0.014215,-0.021439,4294.393555,17382.66797,-0.562906,0.036047
2_2_2023 20:6:26,0.021653,0.014215,-0.021439,4294.361328,17382.66797,-0.562906,0.036047
2_2_2023 20:6:26,0.021653,0.014215,-0.021439,4294.361328,17382.70508,-0.562906,0.036047
2_2_2023 20:6:26,0.021653,0.014215,-0.021439,4294.361328,17382.70508,-0.558171,0.036047
2_2_2023 20:6:26,0.021653,0.014215,-0.021439,4294.361328,17382.70508,-0.558171,0.065268
2_2_2023 20:6:27,0.001789,0.014215,-0.021439,4294.361328,17382.70508,-0.558171,0.065268
2_2_2023 20:6:27,0.001789,-0.067909,-0.021439,4294.361328,17382.70508,-0.558171,0.065268
2_2_2023 20:6:27,0.001789,-0.067909,-0.014447,4294.361328,17382.70508,-0.558171,0.065268
2_2_2023 20:6:27,0.001789,-0.067909,-0.014447,4294.32959,17382.70508,-0.558171,0.065268
2_2_2023 20:6:27,0.001789,-0.067909,-0.014447,4294.32959,17382.71484,-0.558171,0.065268
2_2_2023 20:6:27,0.001789,-0.067909,-0.014447,4294.32959,17382.71484,-0.55271,0.065268
2_2_2023 20:6:27,0.001789,-0.067909,-0.014447,4294.32959,17382.71484,-0.55271,0.069621
2_2_2023 20:6:28,0.007971,-0.067909,-0.014447,4294.32959,17382.71484,-0.55271,0.069621
2_2_2023 20:6:28,0.007971,0.035985,-0.014447,4294.32959,17382.71484,-0.55271,0.069621
2_2_2023 20:6:28,0.007971,0.035985,-0.016249,4294.32959,17382.71484,-0.55271,0.069621
2_2_2023 20:6:28,0.007971,0.035985,-0.016249,4294.297852,17382.71484,-0.55271,0.069621
2_2_2023 20:6:28,0.007971,0.035985,-0.016249,4294.297852,17382.69727,-0.55271,0.069621
2_2_2023 20:6:28,0.007971,0.035985,-0.016249,4294.297852,17382.69727,-0.556608,0.069621
2_2_2023 20:6:28,0.007971,0.035985,-0.016249,4294.297852,17382.69727,-0.556608,0.049803
2_2_2023 20:6:29,-0.045272,0.035985,-0.016249,4294.297852,17382.69727,-0.556608,0.049803
2_2_2023 20:6:29,-0.045272,0.000804,-0.016249,4294.297852,17382.69727,-0.556608,0.049803
2_2_2023 20:6:29,-0.045272,0.000804,-0.008326,4294.297852,17382.69727,-0.556608,0.049803
2_2_2023 20:6:29,-0.045272,0.000804,-0.008326,4294.265625,17382.69727,-0.556608,0.049803
2_2_2023 20:6:29,-0.045272,0.000804,-0.008326,4294.265625,17382.69727,-0.557458,0.049803
2_2_2023 20:6:29,-0.045272,0.000804,-0.008326,4294.265625,17382.69727,-0.557458,0.068298
2_2_2023 20:6:30,-0.070844,0.000804,-0.008326,4294.265625,17382.69727,-0.557458,0.068298
2_2_2023 20:6:30,-0.070844,0.033453,-0.008326,4294.265625,17382.69727,-0.557458,0.068298
2_2_2023 20:6:30,-0.070844,0.033453,-0.004346,4294.265625,17382.69727,-0.557458,0.068298
2_2_2023 20:6:30,-0.070844,0.033453,-0.004346,4294.234375,17382.69727,-0.557458,0.068298
2_2_2023 20:6:30,-0.070844,0.033453,-0.004346,4294.234375,17382.69727,-0.560566,0.068298
2_2_2023 20:6:30,-0.070844,0.033453,-0.004346,4294.234375,17382.69727,-0.560566,0.039752
2_2_2023 20:6:31,0.031085,0.033453,-0.004346,4294.234375,17382.69727,-0.560566,0.039752
2_2_2023 20:6:31,0.031085,0.032547,-0.004346,4294.234375,17382.69727,-0.560566,0.039752
2_2_2023 20:6:31,0.031085,0.032547,-0.011773,4294.234375,17382.69727,-0.560566,0.039752
