ACCELERATION BODY X,ACCELERATION BODY Y,ACCELERATION BODY Z,TOTAL WEIGHT,PLANE ALTITUDE,ATTITUDE INDICATOR PITCH DEGREES,ATTITUDE INDICATOR BANK DEGREES,
 24_1_2023 16:24:56,-8.187645, 0.055123, 1.516366, 1859.081177, 606.195251, -1.228878, -0.154851, 
 24_1_2023 16:24:56,-8.187645, 0.055123, 1.516366, 1859.077148, 606.195251, -1.228878, -0.154851, 
 24_1_2023 16:24:56,-8.187645, 0.055123, 1.516366, 1859.077148, 606.391357, -1.228878, -0.154851, 
 24_1_2023 16:24:56,-8.187645, 0.055123, 1.516366, 1859.077148, 606.391357, -1.132557, -0.154851, 
 24_1_2023 16:24:56,-8.187645, 0.055123, 1.516366, 1859.077148, 606.391357, -1.132557, 0.219813, 
 24_1_2023 16:24:57,-5.766833, 0.055123, 1.516366, 1859.077148, 606.391357, -1.132557, 0.219813, 
 24_1_2023 16:24:57,-5.766833, -0.138527, 1.516366, 1859.077148, 606.391357, -1.132557, 0.219813, 
 24_1_2023 16:24:57,-5.766833, -0.138527, 1.891663, 1859.077148, 606.391357, -1.132557, 0.219813, 
 24_1_2023 16:24:57,-5.766833, -0.138527, 1.891663, 1859.073242, 606.391357, -1.132557, 0.219813, 
 24_1_2023 16:24:57,-5.766833, -0.138527, 1.891663, 1859.073242, 606.457886, -1.132557, 0.219813, 
 24_1_2023 16:24:57,-5.766833, -0.138527, 1.891663, 1859.073242, 606.457886, -0.624343, 0.219813, 
 24_1_2023 16:24:57,-5.766833, -0.138527, 1.891663, 1859.073242, 606.457886, -0.624343, 0.528223, 
 24_1_2023 16:24:58,0.326876, -0.138527, 1.891663, 1859.073242, 606.457886, -0.624343, 0.528223, 
 24_1_2023 16:24:58,0.326876, 0.060703, 1.891663, 1859.073242, 606.457886, -0.624343, 0.528223, 
 24_1_2023 16:24:58,0.326876, 0.060703, 2.072144, 1859.073242, 606.457886, -0.624343, 0.528223, 
 24_1_2023 16:24:58,0.326876, 0.060703, 2.072144, 1859.069214, 606.457886, -0.624343, 0.528223, 
 24_1_2023 16:24:58,0.326876, 0.060703, 2.072144, 1859.069214, 606.406311, -0.624343, 0.528223, 
 24_1_2023 16:24:58,0.326876, 0.060703, 2.072144, 1859.069214, 606.406311, -0.417375, 0.528223, 
 24_1_2023 16:24:58,0.326876, 0.060703, 2.072144, 1859.069214, 606.406311, -0.417375, 0.975168, 
 24_1_2023 16:24:59,-2.612221, 0.060703, 2.072144, 1859.069214, 606.406311, -0.417375, 0.975168, 
 24_1_2023 16:24:59,-2.612221, -0.474520, 2.072144, 1859.069214, 606.406311, -0.417375, 0.975168, 
 24_1_2023 16:24:59,-2.612221, -0.474520, 1.870726, 1859.069214, 606.406311, -0.417375, 0.975168, 
 24_1_2023 16:24:59,-2.612221, -0.474520, 1.870726, 1859.065796, 606.406311, -0.417375, 0.975168, 
 24_1_2023 16:24:59,-2.612221, -0.474520, 1.870726, 1859.065796, 606.323975, -0.417375, 0.975168, 
 24_1_2023 16:24:59,-2.612221, -0.474520, 1.870726, 1859.065796, 606.323975, -0.481234, 0.975168, 
 24_1_2023 16:24:59,-2.612221, -0.474520, 1.870726, 1859.065796, 606.323975, -0.481234, 0.877216, 
 24_1_2023 16:25:0,0.181014, -0.474520, 1.870726, 1859.065796, 606.323975, -0.481234, 0.877216, 
 24_1_2023 16:25:0,0.181014, 0.342065, 1.870726, 1859.065796, 606.323975, -0.481234, 0.877216, 
 24_1_2023 16:25:0,0.181014, 0.342065, 1.410573, 1859.065796, 606.323975, -0.481234, 0.877216, 
 24_1_2023 16:25:0,0.181014, 0.342065, 1.410573, 1859.064453, 606.323975, -0.481234, 0.877216, 
 24_1_2023 16:25:0,0.181014, 0.342065, 1.410573, 1859.064453, 606.212402, -0.481234, 0.877216, 
 24_1_2023 16:25:0,0.181014, 0.342065, 1.410573, 1859.064453, 606.212402, -0.339579, 0.877216, 
 24_1_2023 16:25:0,0.181014, 0.342065, 1.410573, 1859.064453, 606.212402, -0.339579, 0.817419, 
 24_1_2023 16:25:1,-0.575629, 0.342065, 1.410573, 1859.064453, 606.212402, -0.339579, 0.817419, 
 24_1_2023 16:25:1,-0.575629, -0.299165, 1.410573, 1859.064453, 606.212402, -0.339579, 0.817419, 
 24_1_2023 16:25:1,-0.575629, -0.299165, 0.876126, 1859.064453, 606.212402, -0.339579, 0.817419, 
 24_1_2023 16:25:1,-0.575629, -0.299165, 0.876126, 1859.063965, 606.212402, -0.339579, 0.817419, 
 24_1_2023 16:25:1,-0.575629, -0.299165, 0.876126, 1859.063965, 606.092651, -0.339579, 0.817419, 
 24_1_2023 16:25:1,-0.575629, -0.299165, 0.876126, 1859.063965, 606.092651, -0.388190, 0.817419, 
 24_1_2023 16:25:1,-0.575629, -0.299165, 0.876126, 1859.063965, 606.092651, -0.388190, 0.765910, 
 24_1_2023 16:25:2,-0.597278, -0.299165, 0.876126, 1859.063965, 606.092651, -0.388190, 0.765910, 
 24_1_2023 16:25:2,-0.597278, 0.278960, 0.876126, 1859.063965, 606.092651, -0.388190, 0.765910, 
 24_1_2023 16:25:2,-0.597278, 0.278960, 0.558271, 1859.063965, 606.092651, -0.388190, 0.765910, 
 24_1_2023 16:25:2,-0.597278, 0.278960, 0.558271, 1859.063232, 606.092651, -0.388190, 0.765910, 
 24_1_2023 16:25:2,-0.597278, 0.278960, 0.558271, 1859.063232, 605.977173, -0.388190, 0.765910, 
 24_1_2023 16:25:2,-0.597278, 0.278960, 0.558271, 1859.063232, 605.977173, -0.524071, 0.765910, 
 24_1_2023 16:25:2,-0.597278, 0.278960, 0.558271, 1859.063232, 605.977173, -0.524071, 0.752579, 
 24_1_2023 16:25:3,0.395974, 0.278960, 0.558271, 1859.063232, 605.977173, -0.524071, 0.752579, 
 24_1_2023 16:25:3,0.395974, -0.073744, 0.558271, 1859.063232, 605.977173, -0.524071, 0.752579, 
 24_1_2023 16:25:3,0.395974, -0.073744, 0.391516, 1859.063232, 605.977173, -0.524071, 0.752579, 
 24_1_2023 16:25:3,0.395974, -0.073744, 0.391516, 1859.062500, 605.977173, -0.524071, 0.752579, 
 24_1_2023 16:25:3,0.395974, -0.073744, 0.391516, 1859.062500, 605.872559, -0.524071, 0.752579, 
 24_1_2023 16:25:3,0.395974, -0.073744, 0.391516, 1859.062500, 605.872559, -0.426818, 0.752579, 
 24_1_2023 16:25:3,0.395974, -0.073744, 0.391516, 1859.062500, 605.872559, -0.426818, 0.701797, 
 24_1_2023 16:25:4,-0.594438, -0.073744, 0.391516, 1859.062500, 605.872559, -0.426818, 0.701797, 
 24_1_2023 16:25:4,-0.594438, 0.579897, 0.391516, 1859.062500, 605.872559, -0.426818, 0.701797, 
 24_1_2023 16:25:4,-0.594438, 0.579897, 0.302271, 1859.062500, 605.872559, -0.426818, 0.701797, 
 24_1_2023 16:25:4,-0.594438, 0.579897, 0.302271, 1859.061768, 605.872559, -0.426818, 0.701797, 
 24_1_2023 16:25:4,-0.594438, 0.579897, 0.302271, 1859.061768, 605.785156, -0.426818, 0.701797, 
 24_1_2023 16:25:4,-0.594438, 0.579897, 0.302271, 1859.061768, 605.785156, -0.482326, 0.701797, 
 24_1_2023 16:25:4,-0.594438, 0.579897, 0.302271, 1859.061768, 605.785156, -0.482326, 0.621991, 
 24_1_2023 16:25:5,-0.755794, 0.579897, 0.302271, 1859.061768, 605.785156, -0.482326, 0.621991, 
 24_1_2023 16:25:5,-0.755794, 0.181954, 0.302271, 1859.061768, 605.785156, -0.482326, 0.621991, 
 24_1_2023 16:25:5,-0.755794, 0.181954, 0.201949, 1859.061768, 605.785156, -0.482326, 0.621991, 
 24_1_2023 16:25:5,-0.755794, 0.181954, 0.201949, 1859.060913, 605.785156, -0.482326, 0.621991, 
 24_1_2023 16:25:5,-0.755794, 0.181954, 0.201949, 1859.060913, 605.728088, -0.482326, 0.621991, 
 24_1_2023 16:25:5,-0.755794, 0.181954, 0.201949, 1859.060913, 605.728088, -0.534326, 0.621991, 
 24_1_2023 16:25:5,-0.755794, 0.181954, 0.201949, 1859.060913, 605.728088, -0.534326, 0.550891, 
 24_1_2023 16:25:6,-0.166909, 0.181954, 0.201949, 1859.060913, 605.728088, -0.534326, 0.550891, 
 24_1_2023 16:25:6,-0.166909, -0.509726, 0.201949, 1859.060913, 605.728088, -0.534326, 0.550891, 
 24_1_2023 16:25:6,-0.166909, -0.509726, 0.133816, 1859.060913, 605.728088, -0.534326, 0.550891, 
 24_1_2023 16:25:6,-0.166909, -0.509726, 0.133816, 1859.060181, 605.728088, -0.534326, 0.550891, 
 24_1_2023 16:25:6,-0.166909, -0.509726, 0.133816, 1859.060181, 605.705688, -0.534326, 0.550891, 
 24_1_2023 16:25:6,-0.166909, -0.509726, 0.133816, 1859.060181, 605.705688, -0.661566, 0.550891, 
 24_1_2023 16:25:6,-0.166909, -0.509726, 0.133816, 1859.060181, 605.705688, -0.661566, 0.595017, 
 24_1_2023 16:25:7,-0.655484, -0.509726, 0.133816, 1859.060181, 605.705688, -0.661566, 0.595017, 
 24_1_2023 16:25:7,-0.655484, 0.570770, 0.133816, 1859.060181, 605.705688, -0.661566, 0.595017, 
 24_1_2023 16:25:7,-0.655484, 0.570770, 0.089967, 1859.060181, 605.705688, -0.661566, 0.595017, 
 24_1_2023 16:25:7,-0.655484, 0.570770, 0.089967, 1859.059326, 605.705688, -0.661566, 0.595017, 
 24_1_2023 16:25:7,-0.655484, 0.570770, 0.089967, 1859.059326, 605.700684, -0.661566, 0.595017, 
 24_1_2023 16:25:7,-0.655484, 0.570770, 0.089967, 1859.059326, 605.700684, -0.628747, 0.595017, 
 24_1_2023 16:25:7,-0.655484, 0.570770, 0.089967, 1859.059326, 605.700684, -0.628747, 0.664968, 
 24_1_2023 16:25:8,-0.891727, 0.570770, 0.089967, 1859.059326, 605.700684, -0.628747, 0.664968, 
 24_1_2023 16:25:8,-0.891727, 0.386291, 0.089967, 1859.059326, 605.700684, -0.628747, 0.664968, 
 24_1_2023 16:25:8,-0.891727, 0.386291, 0.024760, 1859.059326, 605.700684, -0.628747, 0.664968, 
 24_1_2023 16:25:8,-0.891727, 0.386291, 0.024760, 1859.058594, 605.700684, -0.628747, 0.664968, 
